Gene,49,Experimentally validated?,Studies in pancreatic cancer,RP-LIT score,GPT-LIT score,CHATGPT score,Weighted score,Mutationfrequency(cBioportalTCGAPanCancerAtlas),GETlistscore,GTlistscore,Expressionlistscore,Weighted Mutationfrequency(cBioportalTCGAPanCancerAtlas) score,weighted CNA(CBIOPORTALTCGAPANCANCERATLAS)score,weighted Mutationfrequency(CbioportalUTSWNatCommun2015) score,weighted CNA(CBIOPORTALUTSWNATCOMMUN2015,Combined weighted score (all BEERE lists),cumulative weighted organ expression score,Mutationfrequency(CbioportalUTSWNatCommun2015),CNA(CBIOPORTALTCGAPANCANCERATLAS),CNA(CBIOPORTALUTSWNATCOMMUN2015,weighted GETlistscore,GETlistrank,weighted GTlistscore,weighted GTlistscore,GTlistrank,weighted Expression listscore,Expressionlistrank,brain expression,Weighted brain expression score,gastrointestinal expression,weighted gastrointestinal expression score,liver expression,weighted liver expression score,kidney expression,weighted kidney expression score,studies of gene in pancreatic cancer(last 10 years),Occurance,,,,
PIK3CA,49/50,Yes,175,0.196,1.771,310,34.2,2.8,96,58.7,97,0.2212,0.1296,-0.0851,0.5628,-2.02079,-2.129,3.7,2.7,2.8,8.19825,31,-3.75488,-18.7744,5,8.55536,29,4,-0.204,6,-0.57,7,-0.707,8,-0.648,146,1,,,,
MYC,,Yes,945,0.032,0.349,330,30.1,0,214,9.5,210,0,0.6,-0.0207,2.3919,33.62238,-12.613,0.9,12.5,11.9,18.1815,3,-0.608,-3.04,50,18.48088,3,3,-0.153,45,-4.275,65,-6.565,20,-1.62,703,1,,,,
SRC,,Yes,450,0.044,0.711,320,20,1.1,143,0,144,0.0869,0,0,1.1055,24.82372,-6.065,0,0,5.5,12.1482,9,0,0,0,12.67552,8,5,-0.255,39,-3.705,4,-0.404,21,-1.701,243,2,,,,
EGFR,,Yes,1870,0.01,0.171,320,18.1,0.6,134,2.4,133,0.0474,0.024,-0.0207,0.1809,22.3433,-5.967,0.9,0.5,0.9,11.3645,10,-0.15296,-0.7648,227,11.7436,10,10,-0.51,10,-0.95,35,-3.535,12,-0.972,989,9,,,,
CDK1,,Yes,119,0.133,2.563,305,15.9,0,101,3,102,0,0.024,0,0,16.54618,-2.624,0,0.5,0,8.5697,27,-0.19392,-0.9696,167,8.94608,26,8,-0.408,8,-0.76,8,-0.808,8,-0.648,100,1,,,,
PRKCA,,Yes,9,1.7,25.556,230,15.3,0,83,2.4,86,0,0,0,0,13.79503,0,0,0,0,7.01335,42,-0.1504,-0.752,243,7.53368,38,0,0,0,0,0,0,0,0,2,1,,,,
TNF,,Yes,924,0.013,0.292,270,12.1,0,62,1.7,60,0,0.1056,0,1.2864,9.96166,-0.2769,0,2.2,6.4,5.2343,90,-0.1056,-0.528,426,5.25536,88,0.1,-0.0051,1.2,-0.114,0.6,-0.0606,1.2,-0.0972,507,3,,,,
LCK,,Yes,9,1.273,24.444,220,11.5,0.6,67,1,67,0.0474,0,0,0.7437,11.26923,-1.2574,0,0,3.7,5.66355,74,-0.06528,-0.3264,1002,5.93208,70,0.2,-0.0102,8,-0.76,3.3,-0.3333,1.9,-0.1539,6,1,,,,
JAK2,,Yes,130,0.082,2.192,285,10.6,0.6,70,0,70,0.0474,0.024,0,0.3618,12.07294,-1.892,0,0.5,1.8,5.9279,69,0,0,0,6.14504,65,3,-0.153,8,-0.76,4.4,-0.4444,6.6,-0.5346,105,3,,,,
MAPK1,,Yes,74,0.139,4.122,305,10.3,0,121,0,117,0,0.024,-0.0414,0.7437,20.57237,-11.0288,1.8,0.5,3.7,10.25525,15,0,0,0,10.31712,17,32,-1.632,29,-2.755,33.2,-3.3532,40.6,-3.2886,57,2,,,,
MTOR,,Yes,1197,0.008,0.246,295,9.1,1.7,48,1.7,47,0.1343,0.0528,-0.0207,0.1809,7.67473,,0.9,1.1,0.9,4.10465,152,-0.11072,-0.5536,338,4.12368,138,5,-0.255,6.7,-0.6365,7,-0.707,8,-0.648,-2.2465,1,,,,
AURKB,,Yes,26,0.334,8.462,220,8.7,0,52,1.7,52,0,0,-0.0207,0.1809,8.47745,-1.0299,0.9,0,0.9,4.43785,129,-0.10816,-0.5408,401,4.5804,119,0.1,-0.0051,8,-0.76,1.9,-0.1919,0.9,-0.0729,9,1,,,,
KRAS,,Yes,4366,0.002,0.068,295,7.7,65.4,30,15.3,7,5.1666,0.2064,-2.1091,1.2864,-1.74267,-4.9158,91.7,4.3,6.4,2.57805,296,-0.98048,-4.9024,25,0.58168,625,16,-0.816,20,-1.9,13.6,-1.3736,10.2,-0.8262,3072,1,,,,
MAPK8,,Yes,12,0.587,18.333,220,7,0.6,60,1.4,58,0.0474,0,-0.0207,0.1809,9.77504,-3.8052,0.9,0,0.9,5.0728,92,-0.08704,-0.4352,548,5.13744,90,9,-0.459,8,-0.76,15.1,-1.5251,13.1,-1.0611,8,1,,,,
TOP2A,,Yes,32,0.214,9.688,310,6.9,0.6,41,1.7,41,0.0474,0.0768,0,0.9246,6.51571,-1.7919,0,1.6,4.6,3.44675,207,-0.10816,-0.5408,399,3.60976,176,0.1,-0.0051,15,-1.425,2.7,-0.2727,1.1,-0.0891,28,4,,,,
ITGA4,,Yes,3,2.285,73.333,220,6.9,0.6,40,4.3,37,0.0474,0,0,0.5628,5.23292,-1.7283,0,0,2.8,3.3694,215,-0.27392,-1.3696,110,3.23312,197,0.2,-0.0102,10,-0.95,5.6,-0.5656,2.5,-0.2025,3,1,,,,
CHEK1,,Yes,52,0.128,4.231,220,6.7,0,46,1.7,45,0,0,0,0.5628,7.32999,-1.2247,0,0,2.8,3.87175,170,-0.1088,-0.544,372,4.00224,147,1.3,-0.0663,8,-0.76,2.1,-0.2121,2.3,-0.1863,34,1,,,,
BCL2,,Yes,,,,220,6.2,0.6,13,1.4,13,0.0474,0.1296,0,3.8793,1.81941,-1.436,0,2.7,19.3,1.12965,519,-0.08768,-0.4384,504,1.12816,358,4,-0.204,5.3,-0.5035,2,-0.202,6.5,-0.5265,,2,,,,
PRKCB,,Yes,,,,250,6,0.6,43,1,42,0.0474,0.024,-0.0207,0.1809,7.06528,-2.608,0.9,0.5,0.9,3.6652,191,-0.06464,-0.3232,1111,3.72328,166,28,-1.428,5.76,-0.5472,4.1,-0.4141,2.7,-0.2187,,1,,,,
ERBB4,,Yes,,,,220,5.5,1.1,28,1,28,0.0869,0.0768,-0.0644,0.1809,4.56344,-0.679,2.8,1.6,0.9,2.3868,315,-0.06592,-0.3296,925,2.50624,243,5,-0.255,0.2,-0.019,0,0,5,-0.405,,1,,,,
RRM2,,Yes,,,,315,5.4,0.6,32,1,31,0.0474,0.2352,0,0,5.08685,-1.3513,0,4.9,0,2.70045,282,-0.06656,-0.3328,805,2.7192,228,0.3,-0.0153,10,-0.95,3.1,-0.3131,0.9,-0.0729,,1,,,,
NTRK1,,Yes,,,,310,4.9,1.7,9,0,8,0.1343,0.1824,-0.0207,3.4974,1.4182,-0.2977,0.9,3.8,17.4,0.7582,598,0,0,0,0.66,536,0.3,-0.0153,0.5,-0.0475,0,0,2.9,-0.2349,,1,,,,
ABL1,,Yes,15,0.324,14.667,220,4.9,0.6,81,3.4,83,0.0474,0.024,0,0.5628,13.09018,-11.0694,0,0.5,2.8,6.9037,47,-0.22016,-1.1008,138,7.28728,42,23,-1.173,67,-6.365,17,-1.717,22.4,-1.8144,13,1,,,,
KDR,,Yes,,,,255,4.6,0.6,35,1.3,35,0.0474,0.024,-0.0207,0.1809,5.63524,-2.9991,0.9,0.5,0.9,2.975,253,-0.08448,-0.4224,660,3.08264,204,4,-0.204,7,-0.665,8.9,-0.8989,15.2,-1.2312,,9,,,,
PTGS2,,Yes,,,,310,4.5,0,43,0,7,0,0.1296,0,2.0301,4.26365,-1.9726,0,2.7,10.1,3.63885,195,0,0,0,0.6248,566,1,-0.051,3.6,-0.342,7.7,-0.7777,9.9,-0.8019,,4,,,,
FCGR2C,27,No,,,,220,4.4,0.6,2,1.7,2,0.0474,0.1584,0,2.3919,-0.23962,-0.1023,0,3.3,11.9,0.1411,3692,-0.10624,-0.5312,3692,0.15048,2881,0.4,-0.0204,0.5,-0.0475,0.1,-0.0101,0.3,-0.0243,,2,,,,
TERT,,Yes,,,,320,4.2,1.7,10,0,9,0.1343,0.024,0,2.3919,1.6332,0,0,0.5,11.9,0.85,571,0,0,0,0.7832,443,0,0,0,0,0,0,0,0,,1,,,,
RET,,Yes,,,,290,3.9,1.1,23,0,23,0.0869,0,-0.0644,0.7437,3.99751,-0.8548,2.8,0,3.7,1.95415,386,0,0,0,2.04336,279,4,-0.204,3,-0.285,2.9,-0.2929,0.9,-0.0729,,5,,,,
