Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ITSN2		1	1	109	0.9%	No
SCOC		1	1	109	0.9%	No
TEX44		1	1	109	0.9%	No
ALKBH7		1	1	109	0.9%	No
ALKBH8		1	1	109	0.9%	No
RPSA2		1	1	109	0.9%	No
HTR7		2	2	109	1.8%	No
DPYSL5		1	1	109	0.9%	No
FAM110C		1	1	109	0.9%	No
GPBP1		1	1	109	0.9%	No
PRKACA		1	1	109	0.9%	Yes
ZNF17		1	1	109	0.9%	No
GSTK1		1	1	109	0.9%	No
ZNF19		1	1	109	0.9%	No
CACNA2D1		2	2	109	1.8%	No
SECISBP2		1	1	109	0.9%	No
TEX55		1	1	109	0.9%	No
RC3H1		1	1	109	0.9%	No
UNC5C		1	1	109	0.9%	No
UNC5D		1	1	109	0.9%	No
ZNF16		1	1	109	0.9%	No
SPINT1		1	1	109	0.9%	No
OPTC		1	1	109	0.9%	No
LRATD2		1	1	109	0.9%	No
FEZ1		1	1	109	0.9%	No
SPATA31H1		3	3	109	2.8%	No
ZNF28		1	1	109	0.9%	No
URI1		1	1	109	0.9%	No
COL13A1		1	1	109	0.9%	No
SHMT2		2	1	109	0.9%	No
AASDH		1	1	109	0.9%	No
NPRL3		1	1	109	0.9%	No
MEPCE		2	2	109	1.8%	No
ZNF23		3	3	109	2.8%	No
TEX26		1	1	109	0.9%	No
ADAMTS12		2	2	109	1.8%	No
LYPD5		1	1	109	0.9%	No
ADAMTS10		1	1	109	0.9%	No
TEX29		1	1	109	0.9%	No
ADAMTS16		3	3	109	2.8%	No
ADAMTS14		1	1	109	0.9%	No
LARP1		1	1	109	0.9%	No
ADAMTS19		1	1	109	0.9%	No
ADAMTS18		3	3	109	2.8%	No
ADAMTS17		1	1	109	0.9%	No
MOV10L1		4	4	109	3.7%	No
RDH14		1	1	109	0.9%	No
JAG2		2	2	109	1.8%	No
CREBBP		1	1	109	0.9%	Yes
