Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZDHHC9		Xq26.1	AMP	1	184	0.5%	No
PCDHGA12		5q31.3	AMP	2	184	1.1%	No
PAIP2		5q31.2	AMP	2	184	1.1%	No
LINC01556		6p22.1	AMP	2	184	1.1%	No
PCDHA8		5q31.3	AMP	2	184	1.1%	No
NGFR-AS1		17q21.33	AMP	3	184	1.6%	No
SNX8		7p22.3	AMP	3	184	1.6%	No
CLCF1		11q13.2	AMP	1	184	0.5%	No
NOL11		17q24.2	AMP	3	184	1.6%	No
POU2AF2		11q23.1	AMP	1	184	0.5%	No
NAT2		8p22	HOMDEL	2	184	1.1%	No
GAGE12G		Xp11.23	AMP	1	184	0.5%	No
ALDOC		17q11.2	AMP	1	184	0.5%	No
LINC02075		17q21.33	AMP	3	184	1.6%	No
ERMN		2q24.1	AMP	2	184	1.1%	No
ALG1L2		3q22.1	AMP	1	184	0.5%	No
OXR1		8q23.1	AMP	11	184	6.0%	No
ZNF862		7q36.1	AMP	1	184	0.5%	No
ZNF281		1q32.1	AMP	3	184	1.6%	No
GIMAP2		7q36.1	AMP	1	184	0.5%	No
B3GALT6		1p36.33	AMP	3	184	1.6%	No
CRLF3		17q11.2	AMP	4	184	2.2%	No
BROX		1q41	AMP	3	184	1.6%	No
HEY2		6q22.31	HOMDEL	1	184	0.5%	No
RNASE10		14q11.2	AMP	1	184	0.5%	No
PTCD1		7q22.1	AMP	7	184	3.8%	No
PCDHA7		5q31.3	AMP	2	184	1.1%	No
ATP5F1A		18q21.1	AMP	1	184	0.5%	No
TP53TG3HP		16p11.1	AMP	1	184	0.5%	No
SNX10		7p15.2	AMP	1	184	0.5%	No
NSG2		5q35.2	HOMDEL	1	184	0.5%	No
TSEN34		19q13.42	AMP	2	184	1.1%	No
OR2T29		1q44	AMP	4	184	2.2%	No
GAGE12D		Xp11.23	AMP	1	184	0.5%	No
LRRC37A4P		17q21.31	AMP	4	184	2.2%	No
AKR1B1		7q33	AMP	2	184	1.1%	No
CNOT6		5q35.3	AMP	2	184	1.1%	No
SMC1A		Xp11.22	HOMDEL	1	184	0.5%	Yes
MIR3945HG		4q35.1	HOMDEL	1	184	0.5%	No
AQP7		9p13.3	AMP	4	184	2.2%	No
MFSD6		2q32.2	AMP	1	184	0.5%	No
LINC02901		6q25.3	HOMDEL	1	184	0.5%	No
SRARP		1p36.13	AMP	1	184	0.5%	No
PCDHA6		5q31.3	AMP	2	184	1.1%	No
PWAR5		15q11.2	HOMDEL	1	184	0.5%	No
RSL1D1		16p13.13	AMP	1	184	0.5%	No
RGS5-AS1		1q23.3	AMP	6	184	3.3%	No
GSX2		4q12	AMP	1	184	0.5%	No
ZNF525		19q13.42	AMP	2	184	1.1%	No
MYRIP		3p22.1	AMP	1	184	0.5%	No
STRN4		19q13.32	AMP	2	184	1.1%	No
THG1L		5q33.3	AMP	2	184	1.1%	No
ZNF512B		20q13.33	AMP	2	184	1.1%	No
ZNF431		19p12	AMP	1	184	0.5%	No
PGGHG		11p15.5	AMP	1	184	0.5%	No
