Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
IGBP1P1		14q13.2	AMP	3	109	2.8%	No
LINC02901		6q25.3	AMP	1	109	0.9%	No
KCTD10		12q24.11	HOMDEL	2	109	1.8%	No
TAF8		6p21.1	HOMDEL	1	109	0.9%	No
PALM2AKAP2		9q31.3	AMP	1	109	0.9%	No
ADISSP		20p13	AMP	6	109	5.5%	No
POU2AF2		11q23.1	AMP	2	109	1.8%	No
NAT2		8p22	HOMDEL	6	109	5.5%	No
TMEM38A		19p13.11	AMP	6	109	5.5%	No
ERMN		2q24.1	AMP	2	109	1.8%	No
SEMA6D		15q21.1	AMP	1	109	0.9%	No
FNBP4		11p11.2	HOMDEL	1	109	0.9%	No
OXR1		8q23.1	AMP	8	109	7.3%	No
ZNF883		9q32	AMP	3	109	2.8%	No
AQP6		12q13.12	AMP	4	109	3.7%	No
WDFY3-AS2		4q21.23	HOMDEL	2	109	1.8%	No
ZNF862		7q36.1	AMP	14	109	12.8%	No
GIMAP2		7q36.1	AMP	9	109	8.3%	No
B3GALT6		1p36.33	AMP	14	109	12.8%	No
CRLF3		17q11.2	AMP	7	109	6.4%	No
BROX		1q41	AMP	11	109	10.1%	No
TRIM27		6p22.1	HOMDEL	3	109	2.8%	Yes
TMEM120B		12q24.31	AMP	2	109	1.8%	No
ACTR3BP5		10p11.1	HOMDEL	1	109	0.9%	No
NSMF		9q34.3	HOMDEL	5	109	4.6%	No
TP53TG3HP		16p11.1	AMP	2	109	1.8%	No
C8ORF34-AS1		8q13.2	HOMDEL	1	109	0.9%	No
QNG1		9q21.32	HOMDEL	1	109	0.9%	No
ZNF114		19q13.33	HOMDEL	1	109	0.9%	No
ZNF556		19p13.3	AMP	5	109	4.6%	No
TSEN34		19q13.42	AMP	13	109	11.9%	No
MTERF2		12q23.3	AMP	1	109	0.9%	No
YPEL2		17q22	HOMDEL	3	109	2.8%	No
LRRC37A4P		17q21.31	AMP	7	109	6.4%	No
KRTAP10-10		21q22.3	HOMDEL	1	109	0.9%	No
CNOT6		5q35.3	AMP	3	109	2.8%	No
MIR3945HG		4q35.1	HOMDEL	5	109	4.6%	No
AQP7		9p13.3	AMP	4	109	3.7%	No
RNY4		7q36.1	HOMDEL	8	109	7.3%	No
LINC02901		6q25.3	HOMDEL	3	109	2.8%	No
POT1		7q31.33	HOMDEL	1	109	0.9%	Yes
SRARP		1p36.13	AMP	6	109	5.5%	No
